Código;Nombre;Fabricante;Modelo;Número de Serial;Patente;Tipo;Clasificación 1;Clasificación 2;Ubicado en ó es Parte de;Formulario Personalizado
GRHD-0040;GRÚA HIDRÁULICA;LIEBHERR;LRT 1100-2.1;WLFR20BZ6TEZZ0439 (SN 044904);VVVR-81;GRUAS HIDRAULICAS;;2026;// GRUPO EMI/ CC-0403 RADOMIRO TOMIC/ ;OPERATIVO - EN USO
GRHD-0041;GRÚA HIDRÁULICA;LIEBHERR;LRT 1090-2.1;WLFR20CZ9TEZZ0210 (SN 054027);VVVS-38;GRUAS HIDRAULICAS;;2026;;EN PREPARACION OBRA
GRHD-0042;GRÚA HIDRÁULICA;LIEBHERR;LRT 1090-2.1;WLFR20CZ3TEZZ0204 (SN 054021);VVVS-27;GRUAS HIDRAULICAS;;2026;// GRUPO EMI/ CC-0003 - CALAMA/ ;DISPONIBLE PARA ARRIENDO
GRHQ-0001;GRUA HORQUILLA;MANITOU;MC50 PS;1228621;WK-9835;GRUAS HORQUILLAS;MAQUINARIA SEMIPESADA;2006;// GRUPO EMI/ CC-0409 CENTRO DE OPERACIONES RANCAGUA/ ;OPERATIVO - EN USO
GRHQ-0002;GRUA HORQUILLA;TOYOTA;027FD40;7FDA511994;;GRUAS HORQUILLAS;MAQUINARIA SEMIPESADA;2001;// GRUPO EMI/ CC-0002 BODEGA CENTRAL EIMI/ ;FUERA DE SERVICIO - REPARACION - MANTENCION
GRHQ-0003;GRUA HORQUILLA;LINDE;H30T;H2X393S05902;;GRUAS HORQUILLAS;MAQUINARIA SEMIPESADA;2005;// GRUPO EMI/ CC-0003 DEPTO. EQUIPOS - PATIO 2/ ;VENTA
GRHQ-0004;GRUA HORQUILLA;HYUNDAI;110D-7E;HHKHFT05TC0000169;DSDP-98;GRUAS HORQUILLAS;MAQUINARIA SEMIPESADA;2012;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;OPERATIVO - EN USO
GRHQ-0005;GRUA HORQUILLA;HYUNDAI;160D-7E;HHKHFT08TK0001461;LLXG-93;GRUAS HORQUILLAS;MAQUINARIA SEMIPESADA;2019;// GRUPO EMI/ CC-0389 K484 ENAP - SWS and WSA unit - Aconcagua Refinery, Chile - I03 General Construction Works/ ;OPERATIVO - EN USO
GRHQ-0006;GRUA HORQUILLA;HYUNDAI;130D-7E;HHKHFT06EJ0000238;LPYT-70;GRUAS HORQUILLAS;MAQUINARIA SEMIPESADA;2018;// GRUPO EMI/ CC-0003 - CALAMA/ ;OPERATIVO - EN USO
GRHQ-0007;GRUA HORQUILLA;HELI;CPCD50-YC4G3;010503G6357;VSYR-57;GRUAS HORQUILLAS;MAQUINARIA SEMIPESADA;2026;// GRUPO EMI/ CC-0002 BODEGA CENTRAL EIMI/ ;OPERATIVO - EN USO
GRTA-0001;GRUA TORRE AUTOMONTABLE;LIEBHERR;125 K;61064;;GRUAS TORRES;;2026;// GRUPO EMI/ CC-0389 K484 ENAP - SWS and WSA unit - Aconcagua Refinery, Chile - I03 General Construction Works/ ;OPERATIVO - EN USO
GRTR-0006;GRUA TORRE;POTAIN;MC310-K16;350623;;GRUAS TORRES;GRÚAS FIJAS;2006;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;DISPONIBLE PARA ARRIENDO
GRTR-0007;GRUA TORRE;**POTAIN;MC310-K16;350892;;GRUAS TORRES;GRÚAS FIJAS;2008;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;DISPONIBLE PARA ARRIENDO
GRTR-0008;GRUA TORRE;POTAIN;MC310-K12;94103;;GRUAS TORRES;GRÚAS FIJAS;2004;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;DISPONIBLE PARA ARRIENDO
GRTR-0009;GRUA TORRE;JASO;J420;J420-0058;;GRUAS TORRES;GRÚAS FIJAS;2013;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;DISPONIBLE PARA ARRIENDO
GRTR-0010;GRUA TORRE;LIEBHERR;550 EC-H-40;48924;N/A;GRUAS TORRES;GRÚAS FIJAS;2009;// GRUPO EMI/ CC-0003 MAQUINARIAS Y EQUIPOS EIMI/ ;DISPONIBLE PARA ARRIENDO
